id,gel_num,gel_name,gel_hex,manufacturer_id
1,AP1050,Soft Diffusion,#e9e9e9,1
2,AP1100,Hard Diffusion,#d0d4d5,1
3,AP1200,Early Morning Light Frost,#bababa,1
4,AP1400,Weaved Diffusion,#aaaaaa,1
5,AP1450,Light Weaved Diffusion,#bebebe,1
6,AP1500,Flat Diffusion,#d0d4d5,1
7,AP1550,Textured Diffusion,#e9eaee,1
8,AP1600,White Diffusion,#cacaca,1
9,AP1650,Light Textured Diffusion,#e7e7e9,1
10,AP1900,Blue Diffusion,#0078c1,1
11,AP1950,Green Diffusion,#009a7b,1
12,AP2000,Apollo Blue Full CTB,#6caee0,1
13,AP2010,Apollo Blue 3/4 CTB,#95bfe5,1
14,AP2020,Apollo Blue 1/2 CTB,#b4d6f1,1
15,AP2030,Apollo Blue 1/3 CTB,#b0cbe9,1
16,AP2040,Apollo Blue 1/4 CTB,#b7d1ec,1
17,AP2080,Apollo Blue 1/8 CTB,#cfe0f2,1
18,AP2090,Apollo Blue 2X CTB,#0e5bab,1
19,AP2100,Apollo Orange Full CTO,#f9a25d,1
20,AP2110,Apollo Orange 3/4 CTO,#fdc280,1
21,AP2120,Apollo Orange 1/2 CTO,#feca90,1
22,AP2140,Apollo Orange 1/4 CTO,#fddfb9,1
23,AP2180,Apollo Orange 1/8 CTO,#fff0db,1
24,AP2200,Apollo Straw Full CTS,#fcb040,1
25,AP2220,Apollo Straw 1/2 CTS,#fdcb98,1
26,AP2240,Apollo Straw 1/4 CTS,#ffe4c9,1
27,AP2280,Apollo Straw 1/8 CTS,#feefdc,1
28,AP2310,.3 Neutral Density,#b1b2b6,1
29,AP2320,.6 Neutral Density,#939498,1
30,AP2330,.9 Neutral Density,#6c6d71,1
31,AP3000,Simply Mauvelous,#b2005e,1
32,AP3050,Purple Mist,#5a4099,1
33,AP3100,Precious Purple,#9460a8,1
34,AP3150,Sour Grape,#78278d,1
35,AP3180,Purplexed,#b18fc1,1
36,AP3200,Submissive Lavender,#acafd8,1
37,AP3230,Lavender Retriever,#b7b1d7,1
38,AP3250,Dominant Lavender,#7066ad,1
39,AP3270,Not What You Pink,#c3c8e6,1
40,AP3300,Whispering Lavender,#c8c2dc,1
41,AP3350,Breathless Lavender,#627da8,1
42,AP3400,Luscious Lilac,#2d2065,1
43,AP3450,Bodacious Blueberry,#484687,1
44,AP3500,Apollo Lavender,#2f4088,1
45,AP3520,Alexander the Grape,#231e63,1
46,AP3540,Malice Blue,#38276d,1
47,AP3550,Late Night Lavender,#4b3973,1
48,AP3600,Flirtatious Lavender,#3e2d74,1
49,AP3700,Groovy Grape,#060143,1
50,AP3800,Cowboys & Indigo,#150858,1
51,AP3850,King Congo Blue,#1d1666,1
52,AP3900,Voodoo Lavender,#072062,1
53,AP4050,Seductive Blue,#12246e,1
54,AP4100,Mournful Blue,#173983,1
55,AP4130,Blurple,#293c88,1
56,AP4150,New York Blue,#0058a4,1
57,AP4250,Apollo Blue,#0168b5,1
58,AP4270,Rhythm & Blue,#0058a8,1
59,AP4300,London Blue,#0065b0,1
60,AP4350,Sultry Blue,#17469e,1
